Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Urban,Semiurban,Rural,Loan_Status
LP002305,1,1,0,1,1,4547,0,115,360,1,0,1,0,1
LP002308,0,1,0,0,1,2167,2400,115,360,1,1,0,0,1
LP002314,1,1,0,0,1,2213,0,66,360,1,0,0,1,1
LP002315,0,1,1,1,1,8300,0,152,300,0,0,1,0,0
LP002317,0,1,3.5,1,1,81000,0,360,360,0,0,0,1,0
LP002318,1,1,1,0,1,3867,0,62,360,1,0,1,0,0
LP002319,0,1,0,1,,6256,0,160,360,,1,0,0,1
LP002328,0,1,0,0,1,6096,0,218,360,0,0,0,1,0
LP002332,0,1,0,0,1,2253,2033,110,360,1,0,0,1,1
LP002335,1,1,0,0,1,2149,3237,178,360,0,0,1,0,0
LP002337,1,1,0,1,1,2995,0,60,360,1,1,0,0,1
LP002341,1,1,1,1,1,2600,0,160,360,1,1,0,0,0
LP002342,0,1,2,1,1,1600,20000,239,360,1,1,0,0,0
LP002345,0,1,0,1,1,1025,2773,112,360,1,0,0,1,1
LP002347,0,1,0,1,1,3246,1417,138,360,1,0,1,0,1
LP002348,0,1,0,1,1,5829,0,138,360,1,0,0,1,1
LP002357,1,1,0,0,1,2720,0,80,,0,1,0,0,0
LP002361,0,1,0,1,1,1820,1719,100,360,1,1,0,0,1
LP002362,0,1,1,1,1,7250,1667,110,,0,1,0,0,0
LP002364,0,1,0,1,1,14880,0,96,360,1,0,1,0,1
LP002366,0,1,0,1,1,2666,4300,121,360,1,0,0,1,1
LP002367,1,1,1,0,1,4606,0,81,360,1,0,0,1,0
LP002368,0,1,2,1,1,5935,0,133,360,1,0,1,0,1
LP002369,0,1,0,1,1,2920,16.12000084,87,360,1,0,0,1,1
LP002370,0,1,0,0,1,2717,0,60,180,1,1,0,0,1
LP002377,1,1,1,1,1,8624,0,150,360,1,0,1,0,1
LP002379,0,1,0,1,1,6500,0,105,360,0,0,0,1,0
LP002386,0,1,0,1,,12876,0,405,360,1,0,1,0,1
LP002387,0,1,0,1,1,2425,2340,143,360,1,0,1,0,1
LP002390,0,1,0,1,1,3750,0,100,360,1,1,0,0,1
LP002393,1,,,1,1,10047,0,,240,1,0,1,0,1
LP002398,0,1,0,1,1,1926,1851,50,360,1,0,1,0,1
LP002401,0,1,0,1,1,2213,1125,,360,1,1,0,0,1
LP002403,0,1,0,1,1,10416,0,187,360,0,1,0,0,0
LP002407,1,1,0,0,1,7142,0,138,360,1,0,0,1,1
LP002408,0,1,0,1,1,3660,5064,187,360,1,0,1,0,1
LP002409,0,1,0,1,1,7901,1833,180,360,1,0,0,1,1
LP002418,0,1,3.5,0,1,4707,1993,148,360,1,0,1,0,1
LP002422,0,1,1,1,1,37719,0,152,360,1,0,1,0,1
LP002424,0,1,0,1,1,7333,8333,175,300,,0,0,1,1
LP002429,0,1,1,1,1,3466,1210,130,360,1,0,0,1,1
LP002434,0,1,2,0,1,4652,0,110,360,1,0,0,1,1
LP002435,0,1,0,1,,3539,1376,55,360,1,0,0,1,0
LP002443,0,1,2,1,1,3340,1710,150,360,0,0,0,1,0
LP002444,0,1,1,0,1,2769,1542,190,360,,0,1,0,0
LP002446,0,1,2,0,1,2309,1255,125,360,0,0,0,1,0
LP002447,0,1,2,0,1,1958,1456,60,300,,1,0,0,1
LP002448,0,1,0,1,1,3948,1733,149,360,0,0,0,1,0
LP002449,0,1,0,1,1,2483,2466,90,180,0,0,0,1,1
LP002453,0,1,0,1,1,7085,0,84,360,1,0,1,0,1
LP002455,0,1,2,1,1,3859,0,96,360,1,0,1,0,1
LP002459,0,1,0,1,1,4301,0,118,360,1,1,0,0,1
LP002467,0,1,0,1,1,3708,2569,173,360,1,1,0,0,0
LP002472,0,1,2,1,1,4354,0,136,360,1,0,0,1,1
LP002473,0,1,0,1,1,8334,0,160,360,1,0,1,0,0
LP002478,,1,0,1,1,2083,4083,160,360,,0,1,0,1
LP002484,0,1,3.5,1,1,7740,0,128,180,1,1,0,0,1
LP002487,0,1,0,1,1,3015,2188,153,360,1,0,0,1,1
LP002489,1,1,1,0,,5191,0,132,360,1,0,1,0,1
LP002493,0,1,0,1,1,4166,0,98,360,0,0,1,0,0
LP002494,0,1,0,1,1,6000,0,140,360,1,0,0,1,1
LP002500,0,1,3.5,0,1,2947,1664,70,180,0,1,0,0,0
LP002501,,1,0,1,1,16692,0,110,360,1,0,1,0,1
LP002502,1,1,2,0,,210,2917,98,360,1,0,1,0,1
LP002505,0,1,0,1,1,4333,2451,110,360,1,1,0,0,0
LP002515,0,1,1,1,1,3450,2079,162,360,1,0,1,0,1
LP002517,0,1,1,0,1,2653,1500,113,180,0,0,0,1,0
LP002519,0,1,3.5,1,1,4691,0,100,360,1,0,1,0,1
LP002522,1,1,0,1,1,2500,0,93,360,,1,0,0,1
LP002524,0,1,2,1,1,5532,4648,162,360,1,0,0,1,1
LP002527,0,1,2,1,1,16525,1014,150,360,1,0,0,1,1
LP002529,0,1,2,1,1,6700,1750,230,300,1,0,1,0,1
LP002530,,1,2,1,1,2873,1872,132,360,0,0,1,0,0
LP002531,0,1,1,1,1,16667,2250,86,360,1,0,1,0,1
LP002533,0,1,2,1,1,2947,1603,,360,1,1,0,0,0
LP002534,1,1,0,0,1,4350,0,154,360,1,0,0,1,1
LP002536,0,1,3.5,0,1,3095,0,113,360,1,0,0,1,1
LP002537,0,1,0,1,1,2083,3150,128,360,1,0,1,0,1
LP002541,0,1,0,1,1,10833,0,234,360,1,0,1,0,1
LP002543,0,1,2,1,1,8333,0,246,360,1,0,1,0,1
LP002544,0,1,1,0,1,1958,2436,131,360,1,0,0,1,1
LP002545,0,1,2,1,1,3547,0,80,360,0,0,0,1,0
